pos,last_pos,change,url,name,country,points,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/39166,Ned Bowen,USA,659,TRANSATLANTIC RAIDERS,659,0,1,7,1,0,1
2,3,▲,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,641,RASIO RACING,480,60,1,7,1,0,1
3,2,▼,https://rgtdb.com/user/160071,Wouter Claes,Belgium,635,MOON RIDERS,635,0,4,7,0,0,0
4,6,▲,https://rgtdb.com/user/79305,Carlos Cela,Espana,621,,0,0,1,7,1,1,0
5,5,-,https://rgtdb.com/user/35315,Mike Lister,UK,617,TRANSATLANTIC RAIDERS,617,0,3,7,0,0,1
6,8,▲,https://rgtdb.com/user/79121,James Melville,UK,611,GLASGOW UNITED CC,611,0,2,7,0,1,0
7,7,-,https://rgtdb.com/user/78811,Christophe Contant[pdl],France,602,PEDALERS,425,0,7,7,0,0,0
8,12,▲,https://rgtdb.com/user/61282,Daniel Neugebauer,Deutschland,582,PEDALERS,360,0,2,7,0,1,0
9,10,▲,https://rgtdb.com/user/193520,David Ellis (c) m,UK,569,,0,0,2,7,0,1,0
10,14,▲,https://rgtdb.com/user/95553,J. Sammut (a),UK,557,TEAM POCOMOTION (BLIGHTY),557,0,8,7,0,0,0
11,13,▲,https://rgtdb.com/user/141761,Alasdair Mcalpine,UK,553,GLASGOW UNITED CC,553,0,4,7,0,0,0
12,4,▼,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,541,,0,0,2,6,0,1,0
13,16,▲,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,UK,535,RASIO RACING,275,0,1,6,1,0,0
14,17,▲,https://rgtdb.com/user/21747,Matthew Feely,Eire,514,,0,0,15,7,0,0,0
15,18,▲,https://rgtdb.com/user/129003,Andrzej Krajewski яʀ,Poland,511,RASIO RACING,187,0,5,6,0,0,0
16,9,▼,https://rgtdb.com/user/17957,Tom Gakes [drft],Netherlands,498,TEAM BTR,331,0,1,6,1,0,0
17,20,▲,https://rgtdb.com/user/6305,Mike Ade,UK,488,,0,0,4,7,0,0,0
18,11,▼,https://rgtdb.com/user/66009,Jurgen Janssens,Belgium,485,PEDALERS,341,0,5,6,0,0,0
19,22,▲,https://rgtdb.com/user/126796,Simon Miller sdw,UK,471,SOUTHBOROUGH (SDW) BEES,471,0,8,6,0,0,0
20,21,▲,https://rgtdb.com/user/178580,Timo Achenbach,Deutschland,466,MOON RIDERS,330,0,22,7,0,0,0
