pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
158,148,▼,https://rgtdb.com/user/266085,Lo scalatore Dell'etna,,77,77,,0,0,59,2,0,0,0
160,150,▼,https://rgtdb.com/user/221746,Tom Yates-ijaz,UK,76,76,WESTERLEY TWO,76,32,54,2,0,0,0
160,150,▼,https://rgtdb.com/user/289203,Rick Van der laan,,76,76,,0,0,68,4,0,0,0
160,150,▼,https://rgtdb.com/user/295469,Jason Harding tcc,,76,76,,0,0,63,2,0,0,0
163,153,▼,https://rgtdb.com/user/228324,Nic Lee,UK,75,75,,0,18,26,1,0,0,0
163,190,▲,https://rgtdb.com/user/270667,Gri Pulga,,75,75,,0,0,71,4,0,0,0
165,154,▼,https://rgtdb.com/user/191184,Rob Burdon sdw,,74,74,SOUTHBOROUGH (SDW) HORNETS,74,0,27,1,0,0,0
166,155,▼,https://rgtdb.com/user/6051,Mitch Ide,,73,73,,0,0,28,1,0,0,0
167,,*,https://rgtdb.com/user/196997,Erik Nylin,,72,72,,0,0,29,1,0,0,0
168,156,▼,https://rgtdb.com/user/82766,Julian Mahecha (m),,71,71,,0,0,59,2,0,0,0
169,157,▼,https://rgtdb.com/user/72623,Kevin Walker otr,,70,70,,0,0,63,2,0,0,0
169,157,▼,https://rgtdb.com/user/202732,Kara Bonneau,,70,70,,0,0,62,2,0,0,0
171,159,▼,https://rgtdb.com/user/17597,Kristof Novi (o),Canada,69,69,,0,0,66,2,0,0,0
171,159,▼,https://rgtdb.com/user/137497,Jørgen Vanbers[яʀ],Netherlands,69,69,RASIO RACING,69,0,32,1,0,0,0
173,162,▼,https://rgtdb.com/user/196524,Mike Wareham (ṀṚ),,68,68,,0,0,33,1,0,0,0
174,163,▼,https://rgtdb.com/user/168564,Marcus Garwood (m),UK,67,67,,0,0,34,1,0,0,0
174,163,▼,https://rgtdb.com/user/111327,Ashley Dunstan (b),,67,67,,0,0,34,1,0,0,0
174,,*,https://rgtdb.com/user/148364,Karl Bülow (m),,67,67,,0,0,34,1,0,0,0
177,165,▼,https://rgtdb.com/user/63748,Mark Lightfoot e,,66,66,,0,0,62,2,0,0,0
178,166,▼,https://rgtdb.com/user/268179,Jesper Hansen,,65,65,,0,0,36,1,0,0,0
178,166,▼,https://rgtdb.com/user/295521,Jean francois Rodriguez,,65,65,,0,0,36,1,0,0,0
178,166,▼,https://rgtdb.com/user/31157,Ben Lowe (tcc),,65,65,,0,0,36,1,0,0,0
181,170,▼,https://rgtdb.com/user/210676,Richard Gillingham c,,64,64,,0,0,64,2,0,0,0
181,170,▼,https://rgtdb.com/user/175226,Ross Collins,UK,64,64,SATELITE RIDERS,64,0,37,1,0,0,0
181,170,▼,https://rgtdb.com/user/48021,MagalhÃes  Daniel,Brazil,64,64,,0,0,37,1,0,0,0
181,,*,https://rgtdb.com/user/167945,Bernhard Wolkerstorf,,64,64,,0,0,37,1,0,0,0
185,173,▼,https://rgtdb.com/user/151318,Hans Persson (m),,63,63,,0,0,38,1,0,0,0
185,173,▼,https://rgtdb.com/user/208907,David Symonds (m),,63,63,,0,0,67,2,0,0,0
185,173,▼,https://rgtdb.com/user/165638,Mads Schnoor poco,Danmark,63,63,,0,0,38,1,0,0,0
188,176,▼,https://rgtdb.com/user/50932,Uros Vudler,,62,62,,0,0,39,1,0,0,0
188,176,▼,https://rgtdb.com/user/20893,Daan Delva,,62,62,,0,0,39,1,0,0,0
190,278,▲,https://rgtdb.com/user/158346,Mark Vassalotti,,61,61,,0,0,64,2,0,0,0
190,178,▼,https://rgtdb.com/user/76350,Rob Slater[dmrc],,61,61,,0,0,40,1,0,0,0
190,178,▼,https://rgtdb.com/user/301445,Harry Savell (wvs),,61,61,,0,0,40,1,0,0,0
190,,*,https://rgtdb.com/user/278069,Sjoerd  Meeuwsen,,61,61,,0,0,40,1,0,0,0
194,180,▼,https://rgtdb.com/user/237208,Guillaume Gibert,,60,60,,0,0,68,3,0,0,0
194,180,▼,https://rgtdb.com/user/72810,Suard Christophe,,60,60,,0,0,41,1,0,0,0
194,,*,https://rgtdb.com/user/124207,David Baggy sdw,,60,60,,0,0,41,1,0,0,0
197,183,▼,https://rgtdb.com/user/3108,Joe Pavlik,,59,59,,0,0,42,1,0,0,0
197,183,▼,https://rgtdb.com/user/288741,Brian Detwiler,,59,59,,0,0,42,1,0,0,0
197,183,▼,https://rgtdb.com/user/265161,Carl South ( d ) ,,59,59,,0,0,42,1,0,0,0
200,187,▼,https://rgtdb.com/user/159837,Tim Jen,,58,58,RASIO RACING,58,0,43,1,0,0,0
201,188,▼,https://rgtdb.com/user/261619,Wilger Stoppels,,57,57,,0,0,44,1,0,0,0
201,188,▼,https://rgtdb.com/user/269485,Moreno Ceccon (b 48),,57,57,,0,0,44,1,0,0,0
203,191,▼,https://rgtdb.com/user/154714,Graham  Beckett dcc,,55,55,,0,0,46,1,0,0,0
203,191,▼,https://rgtdb.com/user/235577,Ron Noors,,55,55,,0,0,46,1,0,0,0
203,191,▼,https://rgtdb.com/user/114811,Roberto Martí,Espana,55,55,,0,0,46,1,0,0,0
206,194,▼,https://rgtdb.com/user/149819,Peter Kennedy (m),,54,54,TEAM CAMERON,54,0,47,1,0,0,0
206,194,▼,https://rgtdb.com/user/239015,Jesper Hvisthule,,54,54,,0,0,47,1,0,0,0
206,194,▼,https://rgtdb.com/user/181488,Urška  Korent,,54,54,,0,0,47,1,0,0,0
209,197,▼,https://rgtdb.com/user/193695,Nico Pflueger,,53,53,,0,0,48,1,0,0,0
209,197,▼,https://rgtdb.com/user/306628,Timothy Richardson,,53,53,,0,0,48,1,0,0,0
211,199,▼,https://rgtdb.com/user/210572,David  Alves,,52,52,,0,0,67,2,0,0,0
211,199,▼,https://rgtdb.com/user/226270,Glen Thurgood,UK,52,52,,0,0,49,1,0,0,0
213,201,▼,https://rgtdb.com/user/98838,Davie  Graham,,51,51,,0,0,50,1,0,0,0
213,201,▼,https://rgtdb.com/user/272020,Mark Mcpartland,,51,51,,0,0,50,1,0,0,0
213,201,▼,https://rgtdb.com/user/182446,Xavier Talenton,,51,51,,0,0,50,1,0,0,0
213,201,▼,https://rgtdb.com/user/99114,Thomas Alsop,,51,51,,0,0,50,1,0,0,0
213,,*,https://rgtdb.com/user/307893,Karol Kupczak,,51,51,,0,0,50,1,0,0,0
218,205,▼,https://rgtdb.com/user/187472,Mike Waterton,,50,50,,0,0,51,1,0,0,0
219,206,▼,https://rgtdb.com/user/167072,Matt Brouns,,49,49,,0,0,52,1,0,0,0
219,206,▼,https://rgtdb.com/user/274915,Kelle  Rennrad,,49,49,,0,0,52,1,0,0,0
219,206,▼,https://rgtdb.com/user/259033,Elber Galarga,,49,49,,0,0,52,1,0,0,0
222,209,▼,https://rgtdb.com/user/279768,Calle Blomberg,,48,48,,0,0,53,1,0,0,0
222,,*,https://rgtdb.com/user/278412,Peter Dickason,,48,48,,0,0,53,1,0,0,0
224,210,▼,https://rgtdb.com/user/78845,Dennis Martin (g),,47,47,,0,0,72,2,0,0,0
224,210,▼,https://rgtdb.com/user/122483,Kai Tuomas,,47,47,,0,0,54,1,0,0,0
224,210,▼,https://rgtdb.com/user/269388,Bert Courtyn,,47,47,,0,0,54,1,0,0,0
224,210,▼,https://rgtdb.com/user/193520,David Ellis (c) m,UK,47,47,,0,0,54,1,0,0,0
224,210,▼,https://rgtdb.com/user/288803,Robg Robg,,47,47,,0,0,75,2,0,0,0
224,,*,https://rgtdb.com/user/177527,Patxi Arribas (m),,47,47,,0,0,54,1,0,0,0
230,215,▼,https://rgtdb.com/user/20446,James Turner,,46,46,,0,0,55,1,0,0,0
230,215,▼,https://rgtdb.com/user/92883,T.  Scho,,46,46,,0,0,55,1,0,0,0
230,215,▼,https://rgtdb.com/user/286902,Andre Schoch,,46,46,,0,0,55,1,0,0,0
230,215,▼,https://rgtdb.com/user/224721,Dan Spence,,46,46,,0,0,55,1,0,0,0
234,219,▼,https://rgtdb.com/user/18064,Francisco Zapata,,45,45,,0,0,56,1,0,0,0
234,219,▼,https://rgtdb.com/user/191533,Vladimir Homutov,,45,45,,0,0,56,1,0,0,0
234,219,▼,https://rgtdb.com/user/264959,Sebastian Marghella,,45,45,,0,0,56,1,0,0,0
234,219,▼,https://rgtdb.com/user/281949,Jens Neborg,,45,45,,0,0,56,1,0,0,0
238,223,▼,https://rgtdb.com/user/266247,Christoph Marx,,44,44,,0,0,57,1,0,0,0
238,223,▼,https://rgtdb.com/user/63422,Gufo Pino,,44,44,,0,0,57,1,0,0,0
238,223,▼,https://rgtdb.com/user/251670,Paul Elliott a,,44,44,,0,0,57,1,0,0,0
238,223,▼,https://rgtdb.com/user/163790,Todd Lorbecki ,,44,44,,0,0,57,1,0,0,0
238,,*,https://rgtdb.com/user/317537,Sebastian Wojsyk,,44,44,,0,0,57,1,0,0,0
243,227,▼,https://rgtdb.com/user/289659,Taenn Taenn,,43,43,,0,0,58,1,0,0,0
243,227,▼,https://rgtdb.com/user/142640,Roger Beaven (f cat),,43,43,,0,0,58,1,0,0,0
243,,*,https://rgtdb.com/user/305234,Nuno GonÇalves,,43,43,,0,0,58,1,0,0,0
246,229,▼,https://rgtdb.com/user/228253,Ruben Van der wiel,,42,42,,0,0,59,1,0,0,0
246,229,▼,https://rgtdb.com/user/15530,Craig Gregario,,42,42,,0,0,59,1,0,0,0
246,229,▼,https://rgtdb.com/user/186537,Philipp H.,,42,42,,0,0,59,1,0,0,0
249,232,▼,https://rgtdb.com/user/192296,Christophe Mathieu,,41,41,,0,0,60,1,0,0,0
250,233,▼,https://rgtdb.com/user/263194,Pino Ferro,,40,40,,0,0,61,1,0,0,0
250,233,▼,https://rgtdb.com/user/179576,Donald Grant sdw,UK,40,40,,0,0,61,1,0,0,0
250,233,▼,https://rgtdb.com/user/162796,Cees De jong,,40,40,,0,0,61,1,0,0,0
250,,*,https://rgtdb.com/user/46469,Adam KonstaŃczuk ,,40,40,,0,0,61,1,0,0,0
254,236,▼,https://rgtdb.com/user/277365,Alistair Dow e,,39,39,,0,0,62,1,0,0,0
254,236,▼,https://rgtdb.com/user/233395,Stephane Frigiolini,,39,39,,0,0,62,1,0,0,0
256,238,▼,https://rgtdb.com/user/164522,Andrew Rimmington,,38,38,,0,0,63,1,0,0,0
256,238,▼,https://rgtdb.com/user/157110,John Gymer,,38,38,,0,0,63,1,0,0,0
256,238,▼,https://rgtdb.com/user/47528,Greg Greasley,,38,38,,0,0,63,1,0,0,0
256,238,▼,https://rgtdb.com/user/136617,Isithor Isithor[ṀṚ],,38,38,,0,0,63,1,0,0,0
260,242,▼,https://rgtdb.com/user/288515,Pieter Ver eecke,,37,37,,0,0,64,1,0,0,0
261,243,▼,https://rgtdb.com/user/210138,Lars-ola Westerlund,,36,36,,0,0,65,1,0,0,0
261,,*,https://rgtdb.com/user/141492,Knezevic Marko,,36,36,,0,0,65,1,0,0,0
263,244,▼,https://rgtdb.com/user/51825,Marc Arc fawcett,,35,35,,0,0,66,1,0,0,0
263,244,▼,https://rgtdb.com/user/65012,Dave Morrison,UK,35,35,,0,16,66,1,0,0,0
263,244,▼,https://rgtdb.com/user/263153,Karen  Bailey (l),,35,35,,0,0,66,1,0,0,0
263,244,▼,https://rgtdb.com/user/132921,Iain Davidson ,UK,35,35,,0,0,66,1,0,0,0
267,248,▼,https://rgtdb.com/user/264487,Enzo  Misuraca,,34,34,,0,0,67,1,0,0,0
267,248,▼,https://rgtdb.com/user/76452,Phil Dolphin b,,34,34,,0,0,67,1,0,0,0
267,248,▼,https://rgtdb.com/user/301874,Sergi Paredes,,34,34,,0,0,67,1,0,0,0
270,251,▼,https://rgtdb.com/user/266215,Alessio Ghera,,33,33,,0,0,68,1,0,0,0
270,251,▼,https://rgtdb.com/user/157828,Lucien Mertens,,33,33,,0,0,68,1,0,0,0
270,251,▼,https://rgtdb.com/user/166447,Dermot Doyle (f),,33,33,,0,0,68,1,0,0,0
270,251,▼,https://rgtdb.com/user/280682,Nick Pinxten,,33,33,,0,0,68,1,0,0,0
270,251,▼,https://rgtdb.com/user/298731,Alexandre Coustenoble,,33,33,,0,0,68,1,0,0,0
270,251,▼,https://rgtdb.com/user/269264,Bik(er)win Le blanc (b),,33,33,,0,0,68,1,0,0,0
276,257,▼,https://rgtdb.com/user/56101,Tim Wood (bc),,32,32,,0,0,69,1,0,0,0
276,257,▼,https://rgtdb.com/user/176883,Jan Meeusen,,32,32,,0,0,69,1,0,0,0
276,257,▼,https://rgtdb.com/user/296820,Clint Heron,,32,32,,0,0,69,1,0,0,0
276,257,▼,https://rgtdb.com/user/300006,Marcello De carli,,32,32,,0,0,69,1,0,0,0
280,261,▼,https://rgtdb.com/user/169714,Gregor  Hasert ,,31,31,,0,0,70,1,0,0,0
280,261,▼,https://rgtdb.com/user/280039,Crisco Lord,,31,31,,0,0,70,1,0,0,0
282,263,▼,https://rgtdb.com/user/94990,Danie  Steyn sanz,South Africa,30,30,,0,0,71,1,0,0,0
282,263,▼,https://rgtdb.com/user/243217,Arthur Boniver,,30,30,,0,0,71,1,0,0,0
282,,*,https://rgtdb.com/user/317382,Antti Hihnala,,30,30,,0,0,71,1,0,0,0
285,265,▼,https://rgtdb.com/user/29010,Callum Carruthers,,29,29,,0,0,72,1,0,0,0
285,265,▼,https://rgtdb.com/user/170946,Maik Schlien,,29,29,,0,0,72,1,0,0,0
285,265,▼,https://rgtdb.com/user/259826,Tracy Corken,,29,29,,0,0,72,1,0,0,0
285,,*,https://rgtdb.com/user/309202,Vito Vp,,29,29,,0,0,72,1,0,0,0
289,268,▼,https://rgtdb.com/user/278269,Joanne Maltby,,28,28,,0,0,73,1,0,0,0
289,268,▼,https://rgtdb.com/user/252028,Ml Icetrikesuk,,28,28,,0,0,73,1,0,0,0
289,268,▼,https://rgtdb.com/user/242409,Ant Nt b,,28,28,,0,0,73,1,0,0,0
289,,*,https://rgtdb.com/user/309485,Tony Sinnett,,28,28,,0,0,73,1,0,0,0
293,271,▼,https://rgtdb.com/user/186220,Jay Te,,27,27,,0,0,74,1,0,0,0
294,272,▼,https://rgtdb.com/user/226054,Jeff Peeters,,26,26,,0,0,75,1,0,0,0
294,272,▼,https://rgtdb.com/user/132970,Lee Perry [art],,26,26,,0,0,75,1,0,0,0
296,274,▼,https://rgtdb.com/user/6387,Richard Green,,25,25,,0,0,76,1,0,0,0
296,274,▼,https://rgtdb.com/user/78831,Bruno Carrasco,,25,25,,0,0,76,1,0,0,0
296,274,▼,https://rgtdb.com/user/225725,Marek Kruszynski,,25,25,,0,0,76,1,0,0,0
296,274,▼,https://rgtdb.com/user/164846,Al Dekerma (m),,25,25,,0,0,76,1,0,0,0
300,278,▼,https://rgtdb.com/user/270044,Pepelu Pepeluso,,24,24,,0,0,77,1,0,0,0
300,278,▼,https://rgtdb.com/user/270055,Szymon Koczet,,24,24,,0,0,77,1,0,0,0
300,,*,https://rgtdb.com/user/272778,Michael Ashurst (g),,24,24,,0,0,77,1,0,0,0
303,281,▼,https://rgtdb.com/user/128827,Holly Larsen,,23,23,,0,0,78,1,0,0,0
303,,*,https://rgtdb.com/user/285603,Icg Ic7,,23,23,,0,0,78,1,0,0,0
305,282,▼,https://rgtdb.com/user/241161,Weiran Shen wcc,China,22,22,WESTERLEY TWO,0,12,79,1,0,0,0
305,282,▼,https://rgtdb.com/user/301760,Claire Casselton ,,22,22,,0,0,79,1,0,0,0
307,284,▼,https://rgtdb.com/user/265043,Barry Siddle,,21,21,,0,0,80,1,0,0,0
307,284,▼,https://rgtdb.com/user/197430,Ludwig Neumayer,,21,21,,0,0,80,1,0,0,0
309,286,▼,https://rgtdb.com/user/273394,Marek Krajewski,,20,20,,0,0,81,1,0,0,0
310,287,▼,https://rgtdb.com/user/263456,Marek  Koperski ,,19,19,,0,0,82,1,0,0,0
311,288,▼,https://rgtdb.com/user/28509,Tony Bowler (52c),,18,18,,0,0,83,1,0,0,0
312,289,▼,https://rgtdb.com/user/228387,Per Tideman (m),,17,17,,0,0,84,1,0,0,0
312,289,▼,https://rgtdb.com/user/293955,Jarek Proczkowski ,,17,17,,0,0,84,1,0,0,0
314,291,▼,https://rgtdb.com/user/147738,Roy Lemmens,,16,16,,0,0,85,1,0,0,0
315,292,▼,https://rgtdb.com/user/255031,Michael Berri,,15,15,,0,0,86,1,0,0,0
316,293,▼,https://rgtdb.com/user/305101,Michael Grünwald,,14,14,,0,0,87,1,0,0,0
317,294,▼,https://rgtdb.com/user/298310,Ricardo Morais,,13,13,,0,0,88,1,0,0,0
318,295,▼,https://rgtdb.com/user/172130,Steven Killingbeck,,10,10,,0,0,91,1,0,0,0
319,296,▼,https://rgtdb.com/user/306050,Richard Kilpin,,9,9,,0,0,92,1,0,0,0
320,297,▼,https://rgtdb.com/user/176472,Charlie Simpson   ,,8,8,,0,0,93,1,0,0,0
321,298,▼,https://rgtdb.com/user/235143,Poul erik Lauritsen,,6,6,,0,0,95,1,0,0,0
322,299,▼,https://rgtdb.com/user/225682,Niels  Van der wiel,,5,5,,0,0,96,1,0,0,0
323,300,▼,https://rgtdb.com/user/71837,Briand Beausoleil tcc,,4,4,,0,0,97,1,0,0,0
324,301,▼,https://rgtdb.com/user/290002,Søren Askaa,,1,1,,0,0,100,1,0,0,0
324,301,▼,https://rgtdb.com/user/57612,Sarah Pitchford ,,1,1,,0,0,100,1,0,0,0
324,301,▼,https://rgtdb.com/user/202086,Gerd Di,,1,1,,0,0,100,1,0,0,0
