pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/160071,Wouter Claes [ṀṚ],Belgium,976,599,MOON RIDERS 1,976,0,1,10,5,2,0
2,2,-,https://rgtdb.com/user/39166,Ned Bowen [d],USA,940,593,,0,0,1,10,2,2,1
3,3,-,https://rgtdb.com/user/95553,J. Sammut (a),UK,883,577,POCOMOTION,848,0,2,10,0,1,2
4,16,▲,https://rgtdb.com/user/126963,Miles Askew [ṀṚ],,569,569,MOON RIDERS 1,569,0,3,6,0,0,2
5,4,▼,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,835,569,RASIO RACING,835,180,4,9,0,0,0
6,6,-,https://rgtdb.com/user/198726,Mario  Cavelius,,867,559,,0,0,4,10,0,0,0
7,5,▼,https://rgtdb.com/user/621,Jared Millar (m),,810,557,,0,0,3,9,0,0,1
8,9,▲,https://rgtdb.com/user/155757,Jan Linden poco,Netherlands,721,555,POCOMOTION,379,0,3,8,0,0,1
9,7,▼,https://rgtdb.com/user/79305,Carlos Cela,Espana,837,552,,0,0,5,10,0,0,0
10,8,▼,https://rgtdb.com/user/79121,James Melville,UK,806,551,GLASGOW UNITED CC,806,0,5,9,0,0,0
11,24,▲,https://rgtdb.com/user/84367,Doug Hart,,542,542,,0,0,2,6,0,1,0
12,10,▼,https://rgtdb.com/user/185830,James Currie sdw b,,686,540,SOUTHBOROUGH (SDW) BEES,686,0,2,8,0,1,1
13,11,▼,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,773,535,,0,0,9,9,0,0,0
14,13,▼,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,UK,582,513,RASIO RACING,498,0,10,7,0,0,0
15,15,-,https://rgtdb.com/user/229031,Kasper Hededam,Danmark,679,512,,0,0,10,9,0,0,0
16,12,▼,https://rgtdb.com/user/141761,Alasdair Mcalpine,UK,677,500,GLASGOW UNITED CC,677,0,14,9,0,0,0
17,30,▲,https://rgtdb.com/user/270710,Jack Samways[wvs],,496,496,WATFORD VELO SPORT RT,445,0,7,6,0,0,0
18,18,-,https://rgtdb.com/user/61282,Daniel Neugebauer,Deutschland,557,489,,0,0,14,7,0,0,0
19,14,▼,https://rgtdb.com/user/171135,Tomasz Poniatow. ṀṚ,Poland,738,487,MOON RIDERS 1,312,0,6,10,0,0,0
20,17,▼,https://rgtdb.com/user/254894,King Ing.  :-) 3r,,475,475,,0,0,18,6,0,0,0
21,26,▲,https://rgtdb.com/user/177844,Tom  Moss sdw,UK,568,469,SOUTHBOROUGH (SDW) STINGERS,568,0,8,8,0,0,0
22,19,▼,https://rgtdb.com/user/42607,Brian Vince [wvs],,592,461,WATFORD VELO SPORT RT,461,0,16,8,0,0,0
23,33,▲,https://rgtdb.com/user/103369,Kader Allouni poco,UK,460,460,POCOMOTION,460,0,5,5,0,0,0
24,23,▼,https://rgtdb.com/user/150787,Paul Hindson,,707,460,,0,0,18,10,0,0,0
25,20,▼,https://rgtdb.com/user/6305,Mike Ade,UK,581,458,,0,0,8,8,0,0,0
26,22,▼,https://rgtdb.com/user/267104,Simon  Hall [wvs],,702,457,WATFORD VELO SPORT RT,595,0,21,10,0,0,0
27,21,▼,https://rgtdb.com/user/175915,Kristen Ege poco,Danmark,452,452,,0,0,13,6,0,0,0
28,25,▼,https://rgtdb.com/user/270702,Stuart Gillies tcc,,507,440,TWICKENHAM CC,439,0,19,7,0,0,0
29,28,▼,https://rgtdb.com/user/70138,Andrew Beale c,UK,610,425,WESTERLEY TWO,610,169,18,9,0,0,0
30,27,▼,https://rgtdb.com/user/177199,Julian Fussell sdw,UK,468,422,SOUTHBOROUGH (SDW) HORNETS,422,0,20,7,0,0,0
31,29,▼,https://rgtdb.com/user/69430,Matthew Hammond (m),,416,416,,0,0,1,5,1,0,0
32,39,▲,https://rgtdb.com/user/188139,Per Soderberg(m),,415,415,,0,0,6,5,0,0,0
33,37,▲,https://rgtdb.com/user/141031,Kevan Unsworth (m),UK,400,400,TEAM CAMERON,400,0,28,6,0,0,0
34,31,▼,https://rgtdb.com/user/126796,Simon Miller sdw,UK,495,400,SOUTHBOROUGH (SDW) BEES,199,0,32,8,0,0,0
35,32,▼,https://rgtdb.com/user/21747,Matthew Feely,Eire,560,395,,0,0,28,9,0,0,0
36,34,▼,https://rgtdb.com/user/267097,Darryl Green - wvs,,422,384,WATFORD VELO SPORT RT,137,0,25,7,0,0,0
37,35,▼,https://rgtdb.com/user/243207,Ian Sudds (m),,560,369,,0,0,33,10,0,0,0
38,36,▼,https://rgtdb.com/user/96645,Marcin SzkudlarekṀṚ,Poland,569,368,SATELITE RIDERS,569,0,32,10,0,0,0
39,40,▲,https://rgtdb.com/user/249688,Pat Herron,UK,397,361,,0,0,33,7,0,0,0
40,42,▲,https://rgtdb.com/user/94149,James Dicks,,426,342,,0,0,38,8,0,0,0
41,38,▼,https://rgtdb.com/user/140561,Shawn Murtough,,337,337,,0,0,19,5,0,0,0
42,43,▲,https://rgtdb.com/user/86973,David wcc Buckley wcc,UK,498,332,WESTERLEY ONE,418,175,30,10,0,0,0
43,40,▼,https://rgtdb.com/user/170063,Marco Verhoogt,Netherlands,329,329,,0,0,39,6,0,0,0
44,44,-,https://rgtdb.com/user/175441,Tomas Nygren,Sweden,321,321,,0,0,30,6,0,0,0
45,49,▲,https://rgtdb.com/user/128814,Tim Cummins,UK,408,318,WESTERLEY ONE,298,151,24,9,0,0,0
46,45,▼,https://rgtdb.com/user/225601,Rasmus  Feldballe(m),Danmark,295,295,,0,0,1,3,1,0,1
47,46,▼,https://rgtdb.com/user/182809,Robert Jenko,,290,290,,0,0,1,3,1,0,0
48,47,▼,https://rgtdb.com/user/17957,Tom Gakes,Netherlands,288,288,,0,0,3,3,0,0,1
49,48,▼,https://rgtdb.com/user/91958,Gt Thakkar,UK,326,279,WESTERLEY ONE,242,135,48,8,0,0,0
50,62,▲,https://rgtdb.com/user/159111,Witek Rzeszutek [ṀṚ],,269,269,,0,0,35,5,0,0,0
51,50,▼,https://rgtdb.com/user/55374,Andrew Goff,,301,267,SATELITE RIDERS,218,0,52,7,0,0,0
52,51,▼,https://rgtdb.com/user/143668,Stu Thorn,,266,266,,0,0,54,6,0,0,0
53,52,▼,https://rgtdb.com/user/101319,Martin Wilson,UK,311,260,,0,0,41,8,0,0,0
54,53,▼,https://rgtdb.com/user/274579,Jonathan Frost [tcc],,260,260,TWICKENHAM CC,260,0,26,4,0,0,0
55,68,▲,https://rgtdb.com/user/273772,Terrence Harest,,253,253,,0,0,30,4,0,0,0
56,54,▼,https://rgtdb.com/user/178108,Greg Barnett(o),,252,252,SOUTHBOROUGH (SDW) HORNETS,252,0,11,3,0,0,0
57,55,▼,https://rgtdb.com/user/67054,Johan Oelofse sanz,New Zealand,248,248,TEAM SANZ,248,0,9,3,0,0,0
57,55,▼,https://rgtdb.com/user/14162,Will Hutchins,,248,248,,0,0,25,4,0,0,0
59,60,▲,https://rgtdb.com/user/221770,Rafael Nunez,,315,244,,0,0,53,9,0,0,0
