name,points,first,second,third,fourth,extras(!)
MOON RIDERS 1,174,Wouter Claes [ṀṚ],Tomasz Poniatow. ṀṚ,,,
WATFORD VELO SPORT RT,174,Jack Samways[wvs],Brian Vince [wvs],Simon  Hall [wvs],,
GLASGOW UNITED CC,169,James Melville,Alasdair Mcalpine,,,
RASIO RACING,156,Nick Greenhalghяʀ,Mark Rowbottom яʀ,,,
SOUTHBOROUGH (SDW) BEES,140,James Currie sdw b,Simon Miller sdw,,,
TWICKENHAM CC,138,Stuart Gillies tcc,Jonathan Frost [tcc],Gavin Grant,Robert Blackburn [tcc],
SOUTHBOROUGH (SDW) STINGERS,101,Chris Duffy bees,Tom  Moss sdw,,,
POCOMOTION,91,J. Sammut (a),,,,
WESTERLEY TWO,91,Andrew Beale c,Tom Yates-ijaz,,,
WESTERLEY ONE,73,David wcc Buckley wcc,Tim Cummins,Gt Thakkar,,
TEAM CAMERON,70,Kevan Unsworth (m),,,,
SOUTHBOROUGH (SDW) HORNETS,61,Julian Fussell sdw,,,,
SATELITE RIDERS,55,Marcin SzkudlarekṀṚ,,,,
TWICKENHAM CC LADIES,16,Claire  Miller,Lisa West tcc,,,
