name,points,first,second,third,fourth,extras(!)
MOON RIDERS 1,197,Wouter Claes [ṀṚ],Miles Askew [ṀṚ],Tomasz Poniatow. ṀṚ,,
RASIO RACING,185,Jan Deca [яʀ],Nick Greenhalghяʀ,,,
POCOMOTION,178,J. Sammut (a),Kader Allouni poco,Jan Linden poco,,
GLASGOW UNITED CC,174,James Melville,Alasdair Mcalpine,,,
WATFORD VELO SPORT RT,156,Brian Vince [wvs],Simon  Hall [wvs],,,
SOUTHBOROUGH (SDW) HORNETS,152,Joe Benians,Rob Burdon sdw,David Kent (d),Julian Fussell sdw,
SATELITE RIDERS,141,Daniel  Schoch [ṀṚ],Marcin SzkudlarekṀṚ,Andrew Goff,,
TEAM SANZ,140,Carl Dickason,Johan Oelofse sanz,,,
WESTERLEY TWO,130,Andrew Beale c,Tom Yates-ijaz,Weiran Shen wcc,Ian Mcnally,
SOUTHBOROUGH (SDW) STINGERS,127,Kester Dobson,Tom  Moss sdw,Simon Miller sdw,,
TEAM CAMERON,126,Kevan Unsworth (m),Peter Kennedy (m),,,
WESTERLEY ONE,100,Gt Thakkar,Ian Nguru,David wcc Buckley wcc,Tim Cummins,
SOUTHBOROUGH (SDW) BEES,99,James Currie sdw b,,,,
