pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
53,57,▲,https://rgtdb.com/user/123417,Mike Buckhurst,USA,238,215,,0,0,47,7,0,0,0
54,55,▲,https://rgtdb.com/user/221770,Rafael Nunez,,234,215,,0,0,53,7,0,0,0
55,50,▼,https://rgtdb.com/user/179862,Kester Dobson,,226,226,SOUTHBOROUGH (SDW) STINGERS,226,0,21,3,0,0,0
56,60,▲,https://rgtdb.com/user/143668,Stu Thorn,,221,221,,0,0,54,5,0,0,0
57,66,▲,https://rgtdb.com/user/256908,João Pinho (m),,199,199,,0,0,45,4,0,0,0
58,69,▲,https://rgtdb.com/user/14162,Will Hutchins,,195,195,,0,0,25,3,0,0,0
58,53,▼,https://rgtdb.com/user/225601,Rasmus  Feldballe(m),Danmark,195,195,,0,0,3,2,0,0,1
60,86,▲,https://rgtdb.com/user/131274,Jan Deca [яʀ],Belgium,193,193,RASIO RACING,193,0,4,2,0,0,0
61,83,▲,https://rgtdb.com/user/17957,Tom Gakes,Netherlands,192,192,,0,0,3,2,0,0,1
62,54,▼,https://rgtdb.com/user/151852,Hans Stuifbergen,,189,189,,0,0,2,2,0,1,0
63,57,▼,https://rgtdb.com/user/232488,Scott  Crichton ,Australia,184,184,,0,0,25,3,0,0,0
63,57,▼,https://rgtdb.com/user/183281,Chris Duffy bees,UK,184,184,SOUTHBOROUGH (SDW) STINGERS,184,0,29,3,0,0,0
65,61,▼,https://rgtdb.com/user/127383,Tom Birch (b),,172,172,,0,0,36,3,0,0,0
66,83,▲,https://rgtdb.com/user/159111,Witek Rzeszutek [ṀṚ],,164,164,,0,0,35,3,0,0,0
67,62,▼,https://rgtdb.com/user/189298,Rob Miller wlc,USA,160,160,,0,0,18,2,0,0,0
68,79,▲,https://rgtdb.com/user/198978,Harry Smits,,156,156,,0,0,44,3,0,0,0
69,63,▼,https://rgtdb.com/user/42729,Cameron Lees,,153,153,,0,0,64,5,0,0,0
70,64,▼,https://rgtdb.com/user/36792,Francois Iker [ṀṚ],Belgium,152,152,,0,0,18,2,0,0,0
71,65,▼,https://rgtdb.com/user/232156,Joshua Smitharoo89,,149,149,,0,0,5,2,0,0,0
72,67,▼,https://rgtdb.com/user/93030,Jacek Rorbach,,146,146,,0,0,49,3,0,0,0
73,68,▼,https://rgtdb.com/user/234363,Nicki Haugaard(m),,145,145,,0,0,27,2,0,0,0
73,119,▲,https://rgtdb.com/user/189782,Anna Ronkainen,,145,145,,0,0,26,2,0,0,0
75,70,▼,https://rgtdb.com/user/261662,Rocket Roy nield (c),,141,141,,0,0,26,2,0,0,0
76,154,▲,https://rgtdb.com/user/57107,Ragnar Laan (tcc),,140,140,,0,0,15,2,0,0,0
76,133,▲,https://rgtdb.com/user/192224,Luigi Piollini,,140,140,,0,0,25,2,0,0,0
78,127,▲,https://rgtdb.com/user/236801,Euan Lamont,,139,139,,0,0,29,3,0,0,0
78,71,▼,https://rgtdb.com/user/96541,Carl Dickason,New Zealand,139,139,TEAM SANZ,139,0,28,2,0,0,0
80,72,▼,https://rgtdb.com/user/223310,Flemming Bach (m),,134,134,,0,0,27,2,0,0,0
81,73,▼,https://rgtdb.com/user/273772,Terrence Harest,,131,131,,0,0,30,2,0,0,0
82,74,▼,https://rgtdb.com/user/97222,Paulo Almeida,Portugal,119,119,,0,0,36,2,0,0,0
82,74,▼,https://rgtdb.com/user/66324,Gavin Grant,,119,119,TWICKENHAM CC,73,0,68,5,0,0,0
84,76,▼,https://rgtdb.com/user/66828,Even Oistensen 3r,,114,114,,0,0,43,2,0,0,0
84,106,▲,https://rgtdb.com/user/278058,Claire  Miller,,114,114,TWICKENHAM CC LADIES,114,0,65,4,0,0,0
86,96,▲,https://rgtdb.com/user/95813,Lisa West tcc,,113,113,TWICKENHAM CC LADIES,113,0,69,5,0,0,0
87,77,▼,https://rgtdb.com/user/189383,Richard Howell,,112,112,,0,0,39,2,0,0,0
88,78,▼,https://rgtdb.com/user/254293,Philip Procter wlc,,108,108,,0,0,45,2,0,0,0
89,168,▲,https://rgtdb.com/user/138802,David Thomas,UK,103,103,,0,0,45,2,0,0,0
90,79,▼,https://rgtdb.com/user/218381,Tim Cooke 3r,,99,99,,0,0,2,1,0,1,0
90,79,▼,https://rgtdb.com/user/283422,Scott Gleason ,,99,99,,0,0,2,1,0,1,0
90,79,▼,https://rgtdb.com/user/43482,Coco Maisie,,99,99,,0,0,59,4,0,0,0
93,83,▼,https://rgtdb.com/user/77406,Pj Tcc,,98,98,,0,0,70,4,0,0,0
94,86,▼,https://rgtdb.com/user/281557,Ellen Lockett,,96,96,,0,0,51,2,0,0,0
95,88,▼,https://rgtdb.com/user/167006,Mike Murray c,UK,95,95,,0,0,38,2,0,0,0
95,88,▼,https://rgtdb.com/user/186271,David Kent (d),,95,95,SOUTHBOROUGH (SDW) HORNETS,0,0,51,2,0,0,0
97,90,▼,https://rgtdb.com/user/54380,Chris Morgan,,94,94,,0,0,7,1,0,0,0
98,91,▼,https://rgtdb.com/user/37884,Will Stone [tlr],,93,93,,0,0,8,1,0,0,0
98,91,▼,https://rgtdb.com/user/242367,Micke  Gustafsson ,,93,93,,0,0,8,1,0,0,0
100,,*,https://rgtdb.com/user/281,Klaas Vana,,92,92,,0,0,9,1,0,0,0
100,93,▼,https://rgtdb.com/user/159472,Daniel  Schoch [ṀṚ],,92,92,SATELITE RIDERS,92,0,9,1,0,0,0
102,140,▲,https://rgtdb.com/user/255577,Wendy Wonderweels-otr,,91,91,,0,0,61,3,0,0,0
102,163,▲,https://rgtdb.com/user/151690,Dave Akrigg,,91,91,,0,0,51,2,0,0,0
104,94,▼,https://rgtdb.com/user/113120,John Beames [pdl],,90,90,,0,0,11,1,0,0,0
104,94,▼,https://rgtdb.com/user/186405,Jesper Verhoeven,,90,90,,0,0,11,1,0,0,0
106,96,▼,https://rgtdb.com/user/129842,Steven Brierley,,89,89,,0,0,12,1,0,0,0
106,96,▼,https://rgtdb.com/user/283363,Mattias Lundqvist,,89,89,,0,0,12,1,0,0,0
106,96,▼,https://rgtdb.com/user/264752,Luc Van reeth,,89,89,,0,0,53,2,0,0,0
106,,*,https://rgtdb.com/user/17960,Jan Vana (nopinzr3r),,89,89,,0,0,12,1,0,0,0
106,96,▼,https://rgtdb.com/user/69166,Ian Nguru,Kenya,89,89,WESTERLEY ONE,48,33,53,2,0,0,0
111,101,▼,https://rgtdb.com/user/153961,Wout Hartveld,,87,87,,0,0,14,1,0,0,0
112,102,▼,https://rgtdb.com/user/29961,Mathieu Drujon (spc),,86,86,,0,0,15,1,0,0,0
112,102,▼,https://rgtdb.com/user/134810,Jonathan Crain,,86,86,,0,0,15,1,0,0,0
112,102,▼,https://rgtdb.com/user/140233,Antoine Renou,,86,86,,0,0,15,1,0,0,0
115,168,▲,https://rgtdb.com/user/288668,Robert Blackburn [tcc],,84,84,TWICKENHAM CC,36,0,64,3,0,0,0
115,105,▼,https://rgtdb.com/user/278294,Enot Racoon,,84,84,,0,0,17,1,0,0,0
117,107,▼,https://rgtdb.com/user/284437,Ryan Sedivec,,82,82,,0,0,19,1,0,0,0
117,107,▼,https://rgtdb.com/user/160423,Jérôme BÉrubÉ,,82,82,,0,0,19,1,0,0,0
119,,*,https://rgtdb.com/user/104439,Nick Giles poco,,81,81,,0,0,20,1,0,0,0
120,109,▼,https://rgtdb.com/user/222863,La A.terrehaute,,80,80,,0,0,55,2,0,0,0
120,109,▼,https://rgtdb.com/user/234347,Kurt nørum Pedersen (m),,80,80,,0,0,21,1,0,0,0
122,111,▼,https://rgtdb.com/user/56133,Peter Austin,UK,79,79,,0,0,22,1,0,0,0
122,111,▼,https://rgtdb.com/user/194499,Kristof Keszthelyi-k,Hungary,79,79,,0,0,61,2,0,0,0
122,111,▼,https://rgtdb.com/user/225733,Jonas Van der wiel,,79,79,,0,0,22,1,0,0,0
125,114,▼,https://rgtdb.com/user/71302,Neil Pugh otr(m),,78,78,,0,0,53,2,0,0,0
125,114,▼,https://rgtdb.com/user/220004,Joe Benians,,78,78,SOUTHBOROUGH (SDW) HORNETS,78,0,23,1,0,0,0
125,114,▼,https://rgtdb.com/user/9370,Antony Gough,,78,78,,0,0,23,1,0,0,0
128,117,▼,https://rgtdb.com/user/35315,Mike Lister ,UK,77,77,,0,0,24,1,0,0,0
129,118,▼,https://rgtdb.com/user/221746,Tom Yates-ijaz,UK,76,76,WESTERLEY TWO,76,32,54,2,0,0,0
130,119,▼,https://rgtdb.com/user/228324,Nic Lee,UK,75,75,,0,18,26,1,0,0,0
131,121,▼,https://rgtdb.com/user/134803,Steve Mayes (m),UK,74,74,,0,0,27,1,0,0,0
131,121,▼,https://rgtdb.com/user/191184,Rob Burdon sdw,,74,74,SOUTHBOROUGH (SDW) HORNETS,74,0,27,1,0,0,0
133,123,▼,https://rgtdb.com/user/82766,Julian Mahecha (m),,71,71,,0,0,59,2,0,0,0
134,124,▼,https://rgtdb.com/user/72623,Kevin Walker otr,,70,70,,0,0,63,2,0,0,0
135,197,▲,https://rgtdb.com/user/17597,Kristof Novi (o),Canada,69,69,,0,0,66,2,0,0,0
135,125,▼,https://rgtdb.com/user/137497,Jørgen Vanbers[яʀ],Netherlands,69,69,RASIO RACING,69,0,32,1,0,0,0
135,,*,https://rgtdb.com/user/264656,Alberto Faustino,,69,69,,0,0,32,1,0,0,0
138,126,▼,https://rgtdb.com/user/196524,Mike Wareham (ṀṚ),,68,68,,0,0,33,1,0,0,0
139,127,▼,https://rgtdb.com/user/155619,Pierre Massé,France,67,67,,0,0,62,2,0,0,0
139,127,▼,https://rgtdb.com/user/168564,Marcus Garwood (m),UK,67,67,,0,0,34,1,0,0,0
139,127,▼,https://rgtdb.com/user/111327,Ashley Dunstan (b),,67,67,,0,0,34,1,0,0,0
142,131,▼,https://rgtdb.com/user/63748,Mark Lightfoot e,,66,66,,0,0,62,2,0,0,0
143,132,▼,https://rgtdb.com/user/268179,Jesper Hansen,,65,65,,0,0,36,1,0,0,0
143,,*,https://rgtdb.com/user/295521,Jean francois Rodriguez,,65,65,,0,0,36,1,0,0,0
145,133,▼,https://rgtdb.com/user/175226,Ross Collins,UK,64,64,SATELITE RIDERS,64,0,37,1,0,0,0
145,133,▼,https://rgtdb.com/user/210676,Richard Gillingham c,,64,64,,0,0,64,2,0,0,0
145,,*,https://rgtdb.com/user/48021,MagalhÃes  Daniel,Brazil,64,64,,0,0,37,1,0,0,0
145,195,▲,https://rgtdb.com/user/241536,Lynda Lynda v,,64,64,,0,0,66,3,0,0,0
149,136,▼,https://rgtdb.com/user/165638,Mads Schnoor poco,Danmark,63,63,,0,0,38,1,0,0,0
149,136,▼,https://rgtdb.com/user/151318,Hans Persson (m),,63,63,,0,0,38,1,0,0,0
149,202,▲,https://rgtdb.com/user/208907,David Symonds (m),,63,63,,0,0,67,2,0,0,0
152,138,▼,https://rgtdb.com/user/50932,Uros Vudler,,62,62,,0,0,39,1,0,0,0
152,,*,https://rgtdb.com/user/274421,Louis Francis,,62,62,,0,0,39,1,0,0,0
152,138,▼,https://rgtdb.com/user/20893,Daan Delva,,62,62,,0,0,39,1,0,0,0
155,140,▼,https://rgtdb.com/user/76350,Rob Slater[dmrc],,61,61,,0,0,40,1,0,0,0
155,,*,https://rgtdb.com/user/301445,Harry Savell (wvs),,61,61,,0,0,40,1,0,0,0
157,142,▼,https://rgtdb.com/user/72810,Suard Christophe,,60,60,,0,0,41,1,0,0,0
157,142,▼,https://rgtdb.com/user/237208,Guillaume Gibert,,60,60,,0,0,68,3,0,0,0
157,142,▼,https://rgtdb.com/user/283647,Claire Thompson,,60,60,TWICKENHAM CC LADIES,31,0,70,2,0,0,0
157,142,▼,https://rgtdb.com/user/158558,Buck Rogers,,60,60,,0,0,41,1,0,0,0
161,146,▼,https://rgtdb.com/user/3108,Joe Pavlik,,59,59,,0,0,42,1,0,0,0
161,146,▼,https://rgtdb.com/user/288741,Brian Detwiler,,59,59,,0,0,42,1,0,0,0
161,146,▼,https://rgtdb.com/user/129003,Andrzej Krajewski яʀ,Poland,59,59,,0,0,42,1,0,0,0
164,149,▼,https://rgtdb.com/user/159837,Tim Jen,,58,58,RASIO RACING,58,0,43,1,0,0,0
165,150,▼,https://rgtdb.com/user/261619,Wilger Stoppels,,57,57,,0,0,44,1,0,0,0
165,150,▼,https://rgtdb.com/user/269485,Moreno Ceccon (b 48),,57,57,,0,0,44,1,0,0,0
165,150,▼,https://rgtdb.com/user/7146,Michael Hirmer,,57,57,,0,0,44,1,0,0,0
168,,*,https://rgtdb.com/user/235577,Ron Noors,,55,55,,0,0,46,1,0,0,0
168,153,▼,https://rgtdb.com/user/154714,Graham  Beckett dcc,,55,55,,0,0,46,1,0,0,0
170,154,▼,https://rgtdb.com/user/181488,Urška  Korent,,54,54,,0,0,47,1,0,0,0
170,154,▼,https://rgtdb.com/user/149819,Peter Kennedy (m),,54,54,TEAM CAMERON,54,0,47,1,0,0,0
170,154,▼,https://rgtdb.com/user/239015,Jesper Hvisthule,,54,54,,0,0,47,1,0,0,0
170,232,▲,https://rgtdb.com/user/232622,Grant  Watson ,,54,54,,0,0,66,2,0,0,0
174,158,▼,https://rgtdb.com/user/193695,Nico Pflueger,,53,53,,0,0,48,1,0,0,0
174,158,▼,https://rgtdb.com/user/239903,Miguel Silva b,,53,53,,0,0,60,2,0,0,0
176,160,▼,https://rgtdb.com/user/226270,Glen Thurgood,UK,52,52,,0,0,49,1,0,0,0
176,160,▼,https://rgtdb.com/user/210572,David  Alves,,52,52,,0,0,67,2,0,0,0
178,,*,https://rgtdb.com/user/272020,Mark Mcpartland,,51,51,,0,0,50,1,0,0,0
178,162,▼,https://rgtdb.com/user/98838,Davie  Graham,,51,51,,0,0,50,1,0,0,0
180,163,▼,https://rgtdb.com/user/187472,Mike Waterton,,50,50,,0,0,51,1,0,0,0
180,,*,https://rgtdb.com/user/301698,Gail Rob (tcc),,50,50,,0,0,51,1,0,0,0
182,165,▼,https://rgtdb.com/user/167072,Matt Brouns,,49,49,,0,0,52,1,0,0,0
182,165,▼,https://rgtdb.com/user/274915,Kelle  Rennrad,,49,49,,0,0,52,1,0,0,0
184,167,▼,https://rgtdb.com/user/279768,Calle Blomberg,,48,48,,0,0,53,1,0,0,0
185,168,▼,https://rgtdb.com/user/122483,Kai Tuomas,,47,47,,0,0,54,1,0,0,0
185,168,▼,https://rgtdb.com/user/78845,Dennis Martin (g),,47,47,,0,0,72,2,0,0,0
185,168,▼,https://rgtdb.com/user/193520,David Ellis (c) m,UK,47,47,,0,0,54,1,0,0,0
185,168,▼,https://rgtdb.com/user/269388,Bert Courtyn,,47,47,,0,0,54,1,0,0,0
