name,points,first,second,third,fourth,extras(!)
MOON RIDERS 1,191,Wouter Claes [ṀṚ],Miles Askew [ṀṚ],Tomasz Poniatow. ṀṚ,,
POCOMOTION,184,J. Sammut (a),Kader Allouni poco,Jan Linden poco,,
GLASGOW UNITED CC,181,James Melville,Alasdair Mcalpine,,,
RASIO RACING,163,Nick Greenhalghяʀ,Jørgen Vanbers[яʀ],,,
WATFORD VELO SPORT RT,158,Jack Samways[wvs],Brian Vince [wvs],Simon  Hall [wvs],,
TEAM SANZ,155,Johan Oelofse sanz,Carl Dickason,,,
SOUTHBOROUGH (SDW) STINGERS,147,Tom  Moss sdw,Chris Duffy bees,Simon Miller sdw,,
SOUTHBOROUGH (SDW) BEES,98,James Currie sdw b,,,,
WESTERLEY ONE,96,Gt Thakkar,David wcc Buckley wcc,Ian Nguru,,
SATELITE RIDERS,95,Marcin SzkudlarekṀṚ,Andrew Goff,,,
SOUTHBOROUGH (SDW) HORNETS,64,Julian Fussell sdw,,,,
TWICKENHAM CC,53,Gavin Grant,Lisa West tcc,,,
