pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
140,120,▼,https://rgtdb.com/user/256908,João Pinho (m),,38,38,,0,0,63,1,0,0,0
141,,*,https://rgtdb.com/user/164522,Andrew Rimmington,,38,38,,0,0,63,1,0,0,0
142,121,▼,https://rgtdb.com/user/17597,Kristof Novi (o),Canada,35,35,,0,0,66,1,0,0,0
143,122,▼,https://rgtdb.com/user/65012,Dave Morrison,UK,35,35,,0,17,66,1,0,0,0
144,123,▼,https://rgtdb.com/user/143668,Stu Thorn,,35,35,,0,0,66,1,0,0,0
145,,*,https://rgtdb.com/user/51825,Marc Arc fawcett,,35,35,,0,0,66,1,0,0,0
146,124,▼,https://rgtdb.com/user/264487,Enzo  Misuraca,,34,34,,0,0,67,1,0,0,0
147,126,▼,https://rgtdb.com/user/266215,Alessio Ghera,,33,33,,0,0,68,1,0,0,0
148,127,▼,https://rgtdb.com/user/157828,Lucien Mertens,,33,33,,0,0,68,1,0,0,0
149,,*,https://rgtdb.com/user/278058,Claire  Miller,,32,32,,0,0,69,1,0,0,0
150,128,▼,https://rgtdb.com/user/169714,Gregor  Hasert ,,31,31,,0,0,70,1,0,0,0
151,129,▼,https://rgtdb.com/user/94990,Danie  Steyn sanz,South Africa,30,30,,0,0,71,1,0,0,0
152,130,▼,https://rgtdb.com/user/243217,Arthur Boniver,,30,30,,0,0,71,1,0,0,0
153,131,▼,https://rgtdb.com/user/29010,Callum Carruthers,,29,29,,0,0,72,1,0,0,0
154,,*,https://rgtdb.com/user/170946,Maik Schlien,,29,29,,0,0,72,1,0,0,0
155,,*,https://rgtdb.com/user/278269,Joanne Maltby,,28,28,,0,0,73,1,0,0,0
156,133,▼,https://rgtdb.com/user/210676,Richard Gillingham c,,27,27,,0,0,74,1,0,0,0
157,,*,https://rgtdb.com/user/186220,Jay Te,,27,27,,0,0,74,1,0,0,0
158,,*,https://rgtdb.com/user/226054,Jeff Peeters,,26,26,,0,0,75,1,0,0,0
159,135,▼,https://rgtdb.com/user/6387,Richard Green,,25,25,,0,0,76,1,0,0,0
160,136,▼,https://rgtdb.com/user/78831,Bruno Carrasco,,25,25,,0,0,76,1,0,0,0
161,137,▼,https://rgtdb.com/user/225725,Marek Kruszynski,,25,25,,0,0,76,1,0,0,0
162,138,▼,https://rgtdb.com/user/158346,Mark Vassalotti,,24,24,,0,0,77,1,0,0,0
163,139,▼,https://rgtdb.com/user/270044,Pepelu Pepeluso,,24,24,,0,0,77,1,0,0,0
164,140,▼,https://rgtdb.com/user/270055,Szymon Koczet,,24,24,,0,0,77,1,0,0,0
165,141,▼,https://rgtdb.com/user/241161,Weiran Shen wcc,China,22,22,WESTERLEY TWO,0,13,79,1,0,0,0
166,143,▼,https://rgtdb.com/user/265043,Barry Siddle,,21,21,,0,0,80,1,0,0,0
167,144,▼,https://rgtdb.com/user/197430,Ludwig Neumayer,,21,21,,0,0,80,1,0,0,0
168,146,▼,https://rgtdb.com/user/273394,Marek Krajewski,,20,20,,0,0,81,1,0,0,0
169,147,▼,https://rgtdb.com/user/263456,Marek  Koperski ,,19,19,,0,0,82,1,0,0,0
170,148,▼,https://rgtdb.com/user/210572,David  Alves,,18,18,,0,0,83,1,0,0,0
171,149,▼,https://rgtdb.com/user/228387,Per Tideman (m),,17,17,,0,0,84,1,0,0,0
172,150,▼,https://rgtdb.com/user/255031,Michael Berri,,15,15,,0,0,86,1,0,0,0
