name,points,first,second,third,fourth,extras(!)
POCOMOTION,188,J. Sammut (a),Jan Linden poco,,,
MOON RIDERS 1,186,Miles Askew [ṀṚ],Wouter Claes [ṀṚ],Tomasz Poniatow. ṀṚ,,
RASIO RACING,179,Nick Greenhalghяʀ,Mark Rowbottom яʀ,,,
GLASGOW UNITED CC,174,James Melville,Alasdair Mcalpine,,,
WATFORD VELO SPORT RT,171,Jack Samways[wvs],Simon  Hall [wvs],Brian Vince [wvs],Darryl Green - wvs,
SOUTHBOROUGH (SDW) BEES,147,James Currie sdw b,Simon Miller sdw,,,
WESTERLEY ONE,118,Tim Cummins,Gt Thakkar,David wcc Buckley wcc,,
SATELITE RIDERS,100,Marcin SzkudlarekṀṚ,Andrew Goff,,,
TWICKENHAM CC,92,Stuart Gillies tcc,Robert Blackburn [tcc],Gavin Grant,Jonathan Frost [tcc],
SOUTHBOROUGH (SDW) HORNETS,70,Julian Fussell sdw,,,,
WESTERLEY TWO,64,Andrew Beale c,Tom Yates-ijaz,,,
TWICKENHAM CC LADIES,37,Claire  Miller,Lisa West tcc,Lorna Rowland ,,
