pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/160071,Wouter Claes [ṀṚ],Belgium,876,598,MOON RIDERS 1,876,0,1,9,4,2,0
2,2,-,https://rgtdb.com/user/95553,J. Sammut (a),UK,848,577,POCOMOTION,848,0,2,9,0,1,2
3,3,-,https://rgtdb.com/user/39166,Ned Bowen [d],USA,841,587,,0,0,1,9,2,1,1
4,5,▲,https://rgtdb.com/user/198726,Mario  Cavelius,,775,553,,0,0,4,9,0,0,0
5,4,▼,https://rgtdb.com/user/79305,Carlos Cela,Espana,765,552,,0,0,5,9,0,0,0
6,6,-,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,740,564,RASIO RACING,740,160,4,8,0,0,0
7,7,-,https://rgtdb.com/user/621,Jared Millar (m),,721,554,,0,0,3,8,0,0,1
8,8,-,https://rgtdb.com/user/79121,James Melville,UK,712,544,GLASGOW UNITED CC,712,0,5,8,0,0,0
9,9,-,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,699,535,,0,0,9,8,0,0,0
10,10,-,https://rgtdb.com/user/185830,James Currie sdw b,,686,540,SOUTHBOROUGH (SDW) BEES,686,0,2,8,0,1,1
11,11,-,https://rgtdb.com/user/171135,Tomasz Poniatow. ṀṚ,Poland,671,487,MOON RIDERS 1,312,0,6,9,0,0,0
12,14,▲,https://rgtdb.com/user/267104,Simon  Hall [wvs],,627,451,WATFORD VELO SPORT RT,520,0,21,9,0,0,0
13,13,-,https://rgtdb.com/user/150787,Paul Hindson,,624,446,,0,0,21,9,0,0,0
14,15,▲,https://rgtdb.com/user/155757,Jan Linden poco,Netherlands,623,541,POCOMOTION,281,0,5,7,0,0,0
15,17,▲,https://rgtdb.com/user/141761,Alasdair Mcalpine,UK,607,500,GLASGOW UNITED CC,607,0,14,8,0,0,0
16,16,-,https://rgtdb.com/user/42607,Brian Vince [wvs],,592,461,WATFORD VELO SPORT RT,461,0,16,8,0,0,0
