name,points,first,second,third,fourth,extras(!)
MOON RIDERS 1,194,Wouter Claes [ṀṚ],Miles Askew [ṀṚ],Tomasz Poniatow. ṀṚ,,
POCOMOTION,194,J. Sammut (a),Jan Linden poco,,,
GLASGOW UNITED CC,168,James Melville,Alasdair Mcalpine,,,
WATFORD VELO SPORT RT,162,Jack Samways[wvs],Simon  Hall [wvs],Brian Vince [wvs],,
SOUTHBOROUGH (SDW) STINGERS,142,Tom  Moss sdw,Kester Dobson,Simon Miller sdw,,
TWICKENHAM CC,90,Darryl Green - wvs,Gavin Grant,,,
SATELITE RIDERS,88,Andrew Goff,Marcin SzkudlarekṀṚ,,,
WESTERLEY ONE,80,David wcc Buckley wcc,Tim Cummins,Gt Thakkar,,
SOUTHBOROUGH (SDW) HORNETS,73,Julian Fussell sdw,,,,
SOUTHBOROUGH (SDW) BEES,71,James Currie sdw b,,,,
WESTERLEY TWO,61,Andrew Beale c,,,,
RASIO RACING,58,Tim Jen,,,,
