pos,last_pos,change,url,name,country,points,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/39166,Ned Bowen,USA,937,TRANSATLANTIC RAIDERS,937,0,1,10,2,0,1
2,2,-,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,923,RASIO RACING,672,120,1,10,1,0,2
3,5,▲,https://rgtdb.com/user/79121,James Melville,UK,882,GLASGOW UNITED CC,882,0,1,10,1,1,0
4,3,▼,https://rgtdb.com/user/79305,Carlos Cela,Espana,841,,0,0,1,10,1,1,0
5,7,▲,https://rgtdb.com/user/160071,Wouter Claes,Belgium,825,MOON RIDERS,825,0,4,9,0,0,0
6,6,-,https://rgtdb.com/user/95553,J. Sammut (a),UK,823,TEAM POCOMOTION (BLIGHTY),823,0,4,10,0,0,0
7,8,▲,https://rgtdb.com/user/193520,David Ellis (c) m,UK,802,,0,0,2,10,0,1,0
8,9,▲,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,UK,801,RASIO RACING,455,0,1,9,1,0,0
9,10,▲,https://rgtdb.com/user/35315,Mike Lister,UK,797,TRANSATLANTIC RAIDERS,797,0,3,9,0,0,1
10,4,▼,https://rgtdb.com/user/78811,Christophe Contant[pdl],France,784,PEDALERS,607,0,7,9,0,0,0
11,12,▲,https://rgtdb.com/user/129003,Andrzej Krajewski яʀ,Poland,776,RASIO RACING,370,0,5,9,0,0,0
12,13,▲,https://rgtdb.com/user/61282,Daniel Neugebauer,Deutschland,765,PEDALERS,543,0,2,9,0,1,0
13,16,▲,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,727,,0,0,2,8,0,1,0
14,15,▲,https://rgtdb.com/user/141761,Alasdair Mcalpine,UK,723,GLASGOW UNITED CC,723,0,4,9,0,0,0
15,17,▲,https://rgtdb.com/user/6305,Mike Ade,UK,701,,0,0,4,10,0,0,0
16,14,▼,https://rgtdb.com/user/67054,Johan Oelofse sanz,New Zealand,689,TEAM SANZ,601,0,1,8,2,0,0
17,18,▲,https://rgtdb.com/user/141031,Kevan Unsworth (m),UK,689,TEAM CAMERON,689,0,3,10,0,0,1
18,11,▼,https://rgtdb.com/user/21747,Matthew Feely,Eire,686,,0,0,3,9,0,0,1
19,19,-,https://rgtdb.com/user/128814,Tim Cummins,UK,641,WESTERLEY TWO,582,175,25,10,0,0,0
20,22,▲,https://rgtdb.com/user/56133,Peter Austin (bcc),UK,627,,0,0,22,9,0,0,0
21,21,-,https://rgtdb.com/user/175441,Tomas Nygren,Sweden,616,,0,0,16,10,0,0,0
22,23,▲,https://rgtdb.com/user/86973,David wcc Buckley wcc,UK,615,WESTERLEY ONE,575,171,24,10,0,0,0
23,24,▲,https://rgtdb.com/user/70138,Andrew Beale,UK,606,WESTERLEY TWO,436,167,23,10,0,0,0
24,26,▲,https://rgtdb.com/user/112364,Stefan Kruger sanz,South Africa,570,TEAM SANZ,488,0,4,7,0,0,0
25,25,-,https://rgtdb.com/user/65012,Dave Morrison,UK,568,WESTERLEY ONE,568,159,20,10,0,0,0
26,20,▼,https://rgtdb.com/user/126796,Simon Miller sdw,UK,565,SOUTHBOROUGH (SDW) BEES,565,0,7,7,0,0,0
27,27,-,https://rgtdb.com/user/17957,Tom Gakes [drft],Netherlands,498,TEAM BTR,331,0,1,6,1,0,0
28,33,▲,https://rgtdb.com/user/134803,Steve Mayes (m),UK,498,,0,0,2,6,0,1,0
29,28,▼,https://rgtdb.com/user/66009,Jurgen Janssens,Belgium,485,PEDALERS,341,0,5,6,0,0,0
30,29,▼,https://rgtdb.com/user/178580,Timo Achenbach,Deutschland,466,MOON RIDERS,330,0,22,7,0,0,0
31,30,▼,https://rgtdb.com/user/103369,Kader Allouni,UK,460,TEAM POCOMOTION (BLIGHTY),460,0,1,6,1,0,0
32,34,▲,https://rgtdb.com/user/171135,Tomasz (m) Poniatowski,Poland,453,MOON RIDERS,152,0,15,7,0,0,0
33,35,▲,https://rgtdb.com/user/101319,Martin Wilson,UK,446,,0,0,24,8,0,0,0
34,36,▲,https://rgtdb.com/user/155757,"Jan Linden, vd",Netherlands,437,,0,0,5,5,0,0,0
35,31,▼,https://rgtdb.com/user/96645,Marcin Szkudlarek,Poland,436,MOON RIDERS,145,0,28,7,0,0,0
36,32,▼,https://rgtdb.com/user/106173,Hendre Knoetze sanz,New Zealand,423,TEAM SANZ,358,0,6,5,0,0,0
37,38,▲,https://rgtdb.com/user/137497,Jørgen Vanbers[яʀ]a,Netherlands,417,RASIO RACING,176,0,2,5,0,1,0
38,42,▲,https://rgtdb.com/user/175915,Kristen Ege,Danmark,386,TEAM POCOMOTION (VIKINGS),386,0,7,5,0,0,0
39,37,▼,https://rgtdb.com/user/168564,Marcus Garwood (o),UK,349,,0,0,9,5,0,0,0
40,39,▼,https://rgtdb.com/user/36792,Francois Iker,Belgium,332,,0,0,5,4,0,0,0
41,40,▼,https://rgtdb.com/user/48021,Magalhães  Daniel otr m,Brazil,330,,0,0,21,5,0,0,0
42,41,▼,https://rgtdb.com/user/94990,Danie  Steyn sanz,South Africa,317,TEAM SANZ,237,0,11,4,0,0,0
43,43,-,https://rgtdb.com/user/171850,Eduardo Juez,Espana,293,,0,0,19,4,0,0,0
44,49,▲,https://rgtdb.com/user/189298,Rob Miller (m),USA,291,,0,0,14,4,0,0,0
45,44,▼,https://rgtdb.com/user/148716,Stuart  Hardy [brt],UK,284,TEAM BTR,284,0,4,4,0,0,0
46,45,▼,https://rgtdb.com/user/241161,Weiran Shen,China,246,WESTERLEY TWO,155,70,18,4,0,0,0
47,46,▼,https://rgtdb.com/user/221746,Tom Yates-ijaz,UK,236,WESTERLEY FOUR,236,65,30,4,0,0,0
48,47,▼,https://rgtdb.com/user/62325,Ben Phillips[яʀ],UK,230,RASIO RACING,0,0,23,3,0,0,0
49,58,▲,https://rgtdb.com/user/91958,Gt Thakkar,UK,226,WESTERLEY THREE,226,73,41,5,0,0,0
50,59,▲,https://rgtdb.com/user/249688,Pat Herron,UK,226,,0,0,37,4,0,0,0
51,48,▼,https://rgtdb.com/user/177844,Tom  Moss ,UK,221,SOUTHBOROUGH (SDW) BEES,162,0,18,3,0,0,0
52,63,▲,https://rgtdb.com/user/59104,Yahya Öksüzoglu,Turkey,209,,0,0,26,4,0,0,0
53,66,▲,https://rgtdb.com/user/78574,Stephen Bellio otr,USA,208,,0,0,39,4,0,0,0
54,65,▲,https://rgtdb.com/user/162587,Pedro Reis,Portugal,201,,0,0,39,4,0,0,0
55,50,▼,https://rgtdb.com/user/175226,Ross Collins,UK,199,MOON RIDERS,74,0,27,3,0,0,0
56,51,▼,https://rgtdb.com/user/131274,Jan Deca [яʀ],Belgium,197,RASIO RACING,197,0,2,2,0,1,1
57,52,▼,https://rgtdb.com/user/65709,Ian stephens Sdw (0),UK,196,SOUTHBOROUGH (SDW) SKEETERS,196,0,37,4,0,0,0
58,53,▼,https://rgtdb.com/user/179576,Donald Grant sdw,UK,193,SOUTHBOROUGH (SDW) SKEETERS,193,0,37,4,0,0,0
59,83,▲,https://rgtdb.com/user/32313,Alex Pleger [яʀ],Deutschland,189,,0,0,3,2,0,0,1
60,54,▼,https://rgtdb.com/user/149819,Peter Kennedy (m),,186,TEAM CAMERON,186,0,33,3,0,0,0
61,55,▼,https://rgtdb.com/user/228203,Thijmen Cornelissens,Netherlands,185,,0,0,36,3,0,0,0
62,56,▼,https://rgtdb.com/user/177199,Julian Fussell sdw,UK,184,SOUTHBOROUGH (SDW) BEES,153,0,18,3,0,0,0
63,57,▼,https://rgtdb.com/user/183281,Chris Duffy bees,UK,176,SOUTHBOROUGH (SDW) BEES,96,0,21,3,0,0,0
64,60,▼,https://rgtdb.com/user/210578,Ben Van der burg,Netherlands,174,,0,0,31,3,0,0,0
65,61,▼,https://rgtdb.com/user/127225,Kenneth Vansina[pdl],Belgium,171,PEDALERS,0,0,42,3,0,0,0
66,102,▲,https://rgtdb.com/user/131830,Lawrence  Daley ,UK,167,,0,0,16,2,0,0,0
67,101,▲,https://rgtdb.com/user/189396,Mads Klinksgaard,Danmark,162,,0,0,19,2,0,0,0
68,62,▼,https://rgtdb.com/user/229031,Kasper Hededam,Danmark,158,,0,0,4,2,0,0,0
69,64,▼,https://rgtdb.com/user/228324,Nic Lee,UK,154,WESTERLEY TWO,140,49,19,3,0,0,0
70,67,▼,https://rgtdb.com/user/87547,Nick Beale,UK,150,,0,0,11,2,0,0,0
71,68,▼,https://rgtdb.com/user/21787,Hakan Kutluca,Deutschland,149,,0,0,5,2,0,0,0
72,69,▼,https://rgtdb.com/user/197451,Chris (otr) Hopkinson(m),UK,143,,0,0,27,2,0,0,0
73,70,▼,https://rgtdb.com/user/170063,Marco Verhoogt,Netherlands,141,,0,0,35,3,0,0,0
74,71,▼,https://rgtdb.com/user/172007,Patrick Boumann,Netherlands,139,,0,0,51,4,0,0,0
75,72,▼,https://rgtdb.com/user/86836,Rob Bennett,UK,137,WESTERLEY THREE,137,36,32,2,0,0,0
76,73,▼,https://rgtdb.com/user/232488,Scott  Crichton ,Australia,134,,0,0,23,2,0,0,0
77,74,▼,https://rgtdb.com/user/165247,Dmitry Roz,UK,133,,0,0,32,2,0,0,0
78,75,▼,https://rgtdb.com/user/155619,Pierre Massé,France,129,,0,0,30,2,0,0,0
79,76,▼,https://rgtdb.com/user/138802,David Thomas,UK,124,,0,0,38,2,0,0,0
80,77,▼,https://rgtdb.com/user/235888,Rich Heath,UK,117,,0,0,40,2,0,0,0
81,78,▼,https://rgtdb.com/user/237823,Tom Heremans,Belgium,110,,0,0,25,2,0,0,0
82,79,▼,https://rgtdb.com/user/132921,Iain Davidson ,UK,108,,0,0,44,2,0,0,0
83,80,▼,https://rgtdb.com/user/35568,Steeve Wall (m),Deutschland,107,,0,0,27,2,0,0,0
84,81,▼,https://rgtdb.com/user/69166,Ian Nguru,Kenya,99,WESTERLEY THREE,39,30,41,2,0,0,0
85,82,▼,https://rgtdb.com/user/223268,Jacob Skovsgaar(m),,99,,0,0,2,1,0,1,0
86,,*,https://rgtdb.com/user/152761,Get Zwifty,,99,,0,0,2,1,0,1,0
87,84,▼,https://rgtdb.com/user/241893,Gaetan Calas,France,98,,0,0,3,1,0,0,1
88,,*,https://rgtdb.com/user/129551,Igor Kopse,,98,,0,0,3,1,0,0,1
89,85,▼,https://rgtdb.com/user/74342,Nic Stevenson,UK,97,WESTERLEY ONE,97,20,4,1,0,0,0
90,,*,https://rgtdb.com/user/64238,Guillaume Toffoli,,96,,0,0,5,1,0,0,0
91,86,▼,https://rgtdb.com/user/5419,C. Riemens,Netherlands,95,,0,0,6,1,0,0,0
92,87,▼,https://rgtdb.com/user/165638,Mads Schnoor,Danmark,95,TEAM POCOMOTION (VIKINGS),95,0,6,1,0,0,0
93,88,▼,https://rgtdb.com/user/118750,Sam Kimber,UK,94,,0,0,7,1,0,0,0
94,89,▼,https://rgtdb.com/user/199111,Niko Nikodemiak,Poland,93,,0,0,8,1,0,0,0
95,90,▼,https://rgtdb.com/user/239729,John Bergensk-brt,USA,93,TEAM BTR,93,0,8,1,0,0,0
96,91,▼,https://rgtdb.com/user/194499,Kristof Keszthelyi-k,Hungary,92,,0,0,52,2,0,0,0
97,,*,https://rgtdb.com/user/84367,Doug Hart icc,,92,,0,0,9,1,0,0,0
98,92,▼,https://rgtdb.com/user/149081,Sam Doshi,UK,89,WESTERLEY FOUR,89,41,58,3,0,0,0
99,93,▼,https://rgtdb.com/user/149169,Edu Harms [brt],Netherlands,88,,0,0,13,1,0,0,0
100,94,▼,https://rgtdb.com/user/243887,Jeffrey Hoevenaars,Netherlands,88,,0,0,51,2,0,0,0
101,95,▼,https://rgtdb.com/user/109368,Jim Ogilvie otr,UK,87,,0,0,14,1,0,0,0
102,96,▼,https://rgtdb.com/user/175692,James Osborn ,UK,87,,0,0,14,1,0,0,0
103,97,▼,https://rgtdb.com/user/63785,Henrik Mård [pdl],Sweden,86,PEDALERS,86,0,15,1,0,0,0
104,98,▼,https://rgtdb.com/user/240834,Anders Borggaard,Danmark,84,,0,0,17,1,0,0,0
105,99,▼,https://rgtdb.com/user/155734,F. R.,Espana,84,,0,0,17,1,0,0,0
106,100,▼,https://rgtdb.com/user/126963,Miles Askew,,84,,0,0,17,1,0,0,0
107,,*,https://rgtdb.com/user/254894,King Ing_smileon,,84,,0,0,17,1,0,0,0
108,103,▼,https://rgtdb.com/user/211440,Teun Sturmans,Netherlands,80,,0,0,21,1,0,0,0
109,104,▼,https://rgtdb.com/user/225601,Rasmus  Feldballe(m),Danmark,80,,0,0,21,1,0,0,0
110,105,▼,https://rgtdb.com/user/108193,Stevie Couper,,80,GLASGOW UNITED CC,80,0,21,1,0,0,0
111,106,▼,https://rgtdb.com/user/224881,Stefano Brunelli,Italia,79,,0,0,22,1,0,0,0
112,107,▼,https://rgtdb.com/user/189668,Thomas Medioni,France,78,,0,0,23,1,0,0,0
113,108,▼,https://rgtdb.com/user/225394,Ward Simons,Belgium,76,,0,0,25,1,0,0,0
114,109,▼,https://rgtdb.com/user/88613,Jerry Ball,UK,76,WESTERLEY THREE,76,17,25,1,0,0,0
115,110,▼,https://rgtdb.com/user/163790,Todd Lorbecki ,,76,,0,0,25,1,0,0,0
116,,*,https://rgtdb.com/user/35301,Marco Santos,,76,,0,0,25,1,0,0,0
117,111,▼,https://rgtdb.com/user/96989,Mathieu Dupin,France,75,,0,0,26,1,0,0,0
118,112,▼,https://rgtdb.com/user/243810,Nicolas Moreno,Lithuania,75,,0,0,26,1,0,0,0
119,113,▼,https://rgtdb.com/user/213664,Garrett Metz,USA,75,,0,0,55,2,0,0,0
120,114,▼,https://rgtdb.com/user/222629,Eric Leichtfuss,,75,,0,0,26,1,0,0,0
121,115,▼,https://rgtdb.com/user/206402,Paul Pudel otr,Deutschland,74,,0,0,27,1,0,0,0
122,116,▼,https://rgtdb.com/user/126631,Ibai Jauregi (a),Espana,72,,0,0,29,1,0,0,0
123,,*,https://rgtdb.com/user/256908,João Pinho,,71,,0,0,30,1,0,0,0
124,117,▼,https://rgtdb.com/user/112505,Robin  Sanderson,UK,70,,0,0,31,1,0,0,0
125,,*,https://rgtdb.com/user/133919,Jonas Victorin,,70,,0,0,31,1,0,0,0
126,118,▼,https://rgtdb.com/user/192238,J. Pdq coach ,UK,68,,0,0,33,1,0,0,0
127,119,▼,https://rgtdb.com/user/175229,Matthias  Goossens,Belgium,67,,0,0,34,1,0,0,0
128,120,▼,https://rgtdb.com/user/252176,Josh Rosenblat,Canada,67,,0,0,34,1,0,0,0
129,121,▼,https://rgtdb.com/user/213097,Angus Smith,UK,66,,0,0,35,1,0,0,0
130,122,▼,https://rgtdb.com/user/192123,Bonehead Younger ,UK,65,,0,0,36,1,0,0,0
131,123,▼,https://rgtdb.com/user/190460,Chris  Little (c),,65,,0,0,36,1,0,0,0
132,,*,https://rgtdb.com/user/44624,Stenström Patrik,,65,,0,0,36,1,0,0,0
133,,*,https://rgtdb.com/user/195632,Olly Olly,,64,,0,0,37,1,0,0,0
134,124,▼,https://rgtdb.com/user/227118,Chris Dudley (o),USA,63,,0,0,38,1,0,0,0
135,125,▼,https://rgtdb.com/user/48895,Ken Williamson,,63,,0,0,38,1,0,0,0
136,126,▼,https://rgtdb.com/user/2062,Garry Twiss,,63,,0,0,38,1,0,0,0
137,127,▼,https://rgtdb.com/user/254038,Tiago Pereira,,62,,0,0,39,1,0,0,0
138,128,▼,https://rgtdb.com/user/248774,Emily Hochberg,,62,,0,0,39,1,0,0,0
139,,*,https://rgtdb.com/user/240429,Thomas Otolekoala,,62,,0,0,39,1,0,0,0
140,129,▼,https://rgtdb.com/user/253108,Andrew Gibson,,61,,0,0,40,1,0,0,0
141,130,▼,https://rgtdb.com/user/255820,Lewis Ridge,,61,,0,0,40,1,0,0,0
142,,*,https://rgtdb.com/user/94149,James Dicks,,61,,0,0,40,1,0,0,0
143,131,▼,https://rgtdb.com/user/238790,Jak yé Mitchell,France,60,,0,0,41,1,0,0,0
144,132,▼,https://rgtdb.com/user/245570,Ella Wheeler,,59,,0,0,42,1,0,0,0
145,133,▼,https://rgtdb.com/user/21564,R. Iley h (tlr),,58,TRANSATLANTIC RAIDERS,58,0,43,1,0,0,0
146,,*,https://rgtdb.com/user/196997,Erik Nylin,,58,,0,0,43,1,0,0,0
