pos,last_pos,change,url,name,country,points,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,1112,RASIO RACING,861,160,1,12,1,0,3
2,2,-,https://rgtdb.com/user/39166,Ned Bowen,USA,1111,TRANSATLANTIC RAIDERS,1111,0,1,12,2,0,1
3,3,-,https://rgtdb.com/user/79121,James Melville,UK,1055,GLASGOW UNITED CC,1055,0,1,12,1,1,0
4,4,-,https://rgtdb.com/user/79305,Carlos Cela,Espana,1029,,0,0,1,12,1,1,0
5,6,▲,https://rgtdb.com/user/160071,Wouter Claes,Belgium,1019,MOON RIDERS,1019,0,2,11,0,1,0
6,5,▼,https://rgtdb.com/user/95553,J. Sammut (a),UK,1017,TEAM POCOMOTION (BLIGHTY),1017,0,2,12,0,1,0
7,7,-,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,UK,977,RASIO RACING,548,0,1,11,1,0,0
8,9,▲,https://rgtdb.com/user/129003,Andrzej Krajewski яʀ,Poland,957,RASIO RACING,460,0,5,11,0,0,0
9,8,▼,https://rgtdb.com/user/193520,David Ellis (c) m,UK,943,,0,0,2,12,0,1,0
10,10,-,https://rgtdb.com/user/61282,Daniel Neugebauer,Deutschland,925,PEDALERS,703,0,2,11,0,1,0
11,11,-,https://rgtdb.com/user/141761,Alasdair Mcalpine,UK,898,GLASGOW UNITED CC,898,0,4,11,0,0,0
12,13,▲,https://rgtdb.com/user/67054,Johan Oelofse sanz,New Zealand,880,TEAM SANZ,792,0,1,10,2,0,0
13,14,▲,https://rgtdb.com/user/78811,Christophe Contant[pdl],France,863,PEDALERS,686,0,7,10,0,0,0
14,15,▲,https://rgtdb.com/user/6305,Mike Ade,UK,850,,0,0,4,12,0,0,0
15,18,▲,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,819,,0,0,2,9,0,1,0
16,17,▲,https://rgtdb.com/user/141031,Kevan Unsworth (m),UK,819,TEAM CAMERON,819,0,3,12,0,0,1
17,12,▼,https://rgtdb.com/user/35315,Mike Lister,UK,797,TRANSATLANTIC RAIDERS,797,0,3,9,0,0,1
18,19,▲,https://rgtdb.com/user/56133,Peter Austin (bcc),UK,796,,0,0,14,11,0,0,0
19,16,▼,https://rgtdb.com/user/21747,Matthew Feely,Eire,769,,0,0,3,10,0,0,1
20,21,▲,https://rgtdb.com/user/175441,Tomas Nygren,Sweden,765,,0,0,16,12,0,0,0
21,20,▼,https://rgtdb.com/user/128814,Tim Cummins,UK,754,WESTERLEY TWO,695,205,25,12,0,0,0
22,22,-,https://rgtdb.com/user/86973,David wcc Buckley wcc,UK,748,WESTERLEY ONE,708,207,24,12,0,0,0
23,23,-,https://rgtdb.com/user/70138,Andrew Beale,UK,744,WESTERLEY TWO,574,203,23,12,0,0,0
24,24,-,https://rgtdb.com/user/65012,Dave Morrison,UK,683,WESTERLEY ONE,620,190,20,12,0,0,0
25,25,-,https://rgtdb.com/user/112364,Stefan Kruger sanz,South Africa,642,TEAM SANZ,488,0,4,8,0,0,0
26,28,▲,https://rgtdb.com/user/106173,Hendre Knoetze sanz,New Zealand,601,TEAM SANZ,536,0,6,7,0,0,0
27,27,-,https://rgtdb.com/user/171135,Tomasz (m) Poniatowski,Poland,600,MOON RIDERS,299,0,15,9,0,0,0
28,32,▲,https://rgtdb.com/user/17957,Tom Gakes [drft],Netherlands,585,TEAM BTR,418,0,1,7,1,0,0
29,30,▲,https://rgtdb.com/user/137497,Jørgen Vanbers[яʀ]a,Netherlands,581,RASIO RACING,176,0,2,7,0,1,0
30,33,▲,https://rgtdb.com/user/134803,Steve Mayes (m),UK,568,,0,0,2,7,0,1,0
31,26,▼,https://rgtdb.com/user/126796,Simon Miller sdw,UK,565,SOUTHBOROUGH (SDW) BEES,565,0,7,7,0,0,0
32,29,▼,https://rgtdb.com/user/101319,Martin Wilson,UK,553,,0,0,24,10,0,0,0
33,37,▲,https://rgtdb.com/user/155757,"Jan Linden, vd",Netherlands,535,,0,0,3,6,0,0,1
34,31,▼,https://rgtdb.com/user/96645,Marcin Szkudlarek,Poland,505,MOON RIDERS,145,0,28,8,0,0,0
35,34,▼,https://rgtdb.com/user/66009,Jurgen Janssens,Belgium,485,PEDALERS,341,0,5,6,0,0,0
36,35,▼,https://rgtdb.com/user/178580,Timo Achenbach,Deutschland,466,MOON RIDERS,330,0,22,7,0,0,0
37,36,▼,https://rgtdb.com/user/103369,Kader Allouni,UK,460,TEAM POCOMOTION (BLIGHTY),460,0,1,6,1,0,0
38,38,-,https://rgtdb.com/user/175915,Kristen Ege,Danmark,386,TEAM POCOMOTION (VIKINGS),386,0,7,5,0,0,0
39,43,▲,https://rgtdb.com/user/62325,Ben Phillips[яʀ],UK,380,,0,0,23,5,0,0,0
40,49,▲,https://rgtdb.com/user/32313,Alex Pleger [яʀ],Deutschland,363,,0,0,3,4,0,0,1
41,39,▼,https://rgtdb.com/user/168564,Marcus Garwood (o),UK,349,,0,0,9,5,0,0,0
42,40,▼,https://rgtdb.com/user/36792,Francois Iker,Belgium,332,,0,0,5,4,0,0,0
43,47,▲,https://rgtdb.com/user/91958,Gt Thakkar,UK,331,WESTERLEY THREE,331,102,39,7,0,0,0
44,41,▼,https://rgtdb.com/user/48021,Magalhães  Daniel otr m,Brazil,330,,0,0,21,5,0,0,0
45,42,▼,https://rgtdb.com/user/94990,Danie  Steyn sanz,South Africa,317,TEAM SANZ,237,0,11,4,0,0,0
46,44,▼,https://rgtdb.com/user/221746,Tom Yates-ijaz,UK,300,WESTERLEY FOUR,300,81,30,5,0,0,0
47,45,▼,https://rgtdb.com/user/171850,Eduardo Juez,Espana,293,,0,0,19,4,0,0,0
48,46,▼,https://rgtdb.com/user/189298,Rob Miller (m),USA,291,,0,0,14,4,0,0,0
49,48,▼,https://rgtdb.com/user/148716,Stuart  Hardy [brt],UK,284,TEAM BTR,284,0,4,4,0,0,0
50,58,▲,https://rgtdb.com/user/131274,Jan Deca [яʀ],Belgium,278,,197,0,2,3,0,1,1
51,55,▲,https://rgtdb.com/user/78574,Stephen Bellio otr,USA,263,,0,0,39,5,0,0,0
52,50,▼,https://rgtdb.com/user/149819,Peter Kennedy (m),,254,TEAM CAMERON,254,0,33,4,0,0,0
