pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/95813,Lisa West tcc,,255,255,TWICKENHAM CC LADIES,88,0,1,3,1,0,1
2,2,-,https://rgtdb.com/user/278058,Claire  Miller,,186,186,TWICKENHAM CC LADIES,68,0,1,2,1,0,0
3,3,-,https://rgtdb.com/user/281557,Ellen Lockett,,171,171,,0,0,1,2,1,0,0
4,6,▲,https://rgtdb.com/user/283647,Claire Thompson,,135,135,TWICKENHAM CC LADIES,31,0,20,2,0,0,0
5,,*,https://rgtdb.com/user/189782,Anna Ronkainen,,100,100,,0,0,1,1,1,0,0
6,4,▼,https://rgtdb.com/user/278269,Joanne Maltby,,96,96,,0,0,5,1,0,0,0
7,5,▼,https://rgtdb.com/user/263153,Karen  Bailey (l),,85,85,,0,0,16,1,0,0,0
8,,*,https://rgtdb.com/user/181488,Urška  Korent,,79,79,,0,0,22,1,0,0,0
9,,*,https://rgtdb.com/user/255577,Wendy Wonderweels-otr,,65,65,,0,0,36,1,0,0,0
10,,*,https://rgtdb.com/user/241536,Lynda Lynda v,,60,60,,0,0,41,1,0,0,0
11,,*,https://rgtdb.com/user/3964,Lorna Rowland ,,55,55,TWICKENHAM CC LADIES,30,0,46,1,0,0,0
