pos,url,name,points,team,team points,best,race count,win count,2nd count,3rd count
1,https://rgtdb.com/user/39166,Ned Bowen,659,TRANSATLANTIC RAIDERS,659,1,7,1,0,1
2,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,641,RASIO RACING,480,1,7,1,0,1
3,https://rgtdb.com/user/160071,Wouter Claes,635,MOON RIDERS,635,4,7,0,0,0
4,https://rgtdb.com/user/79305,Carlos Cela,621,,0,1,7,1,1,0
5,https://rgtdb.com/user/35315,Mike Lister,617,TRANSATLANTIC RAIDERS,617,3,7,0,0,1
6,https://rgtdb.com/user/79121,James Melville,611,GLASGOW UNITED CC,611,2,7,0,1,0
7,https://rgtdb.com/user/78811,Christophe Contant[pdl],602,PEDALERS,425,7,7,0,0,0
8,https://rgtdb.com/user/61282,Daniel Neugebauer,582,PEDALERS,360,2,7,0,1,0
9,https://rgtdb.com/user/193520,David Ellis (c) m,569,,0,2,7,0,1,0
10,https://rgtdb.com/user/95553,J. Sammut (a),557,TEAM POCOMOTION (BLIGHTY),557,8,7,0,0,0
11,https://rgtdb.com/user/141761,Alasdair Mcalpine,553,GLASGOW UNITED CC,553,4,7,0,0,0
12,https://rgtdb.com/user/132783,Mathias  Bergkvist,541,,0,2,6,0,1,0
13,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,535,RASIO RACING,275,1,6,1,0,0
14,https://rgtdb.com/user/21747,Matthew Feely,514,,0,15,7,0,0,0
15,https://rgtdb.com/user/129003,Andrzej Krajewski яʀ,511,RASIO RACING,187,5,6,0,0,0
16,https://rgtdb.com/user/17957,Tom Gakes [drft],498,TEAM BTR,331,1,6,1,0,0
17,https://rgtdb.com/user/6305,Mike Ade,488,,0,4,7,0,0,0
18,https://rgtdb.com/user/66009,Jurgen Janssens,485,PEDALERS,341,5,6,0,0,0
19,https://rgtdb.com/user/126796,Simon Miller sdw,471,SOUTHBOROUGH (SDW) BEES,471,8,6,0,0,0
20,https://rgtdb.com/user/178580,Timo Achenbach,466,MOON RIDERS,330,22,7,0,0,0
