pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,time_secs,delta_secs,wkg,time_human,delta_human
1,/user/160071,Wouter Claes,ṀṚ,MOON RIDERS 1,True,,1192.3,0.0,3.9,19:52.300,00:00.000
2,/user/84367,Doug Hart,ICC,,,,1192.5,0.23,4.19,19:52.500,00:00.230
3,/user/95553,J. Sammut poco,Pocomotion,POCOMOTION,True,,1192.7,0.404,3.89,19:52.700,00:00.404
4,/user/182809,Robert Jenko,Pedalers,,,,1192.7,0.431,4.07,19:52.700,00:00.431
5,/user/79305,Carlos Cela,,,,,1192.7,0.439,3.83,19:52.700,00:00.439
6,/user/171135,Tomasz Poniatowski [ṀṚ],ṀṚ,MOON RIDERS 1,True,,1192.8,0.509,3.03,19:52.800,00:00.509
7,/user/103369,Kader Allouni poco,Pocomotion,POCOMOTION,True,,1192.8,0.525,4.24,19:52.800,00:00.525
8,/user/6305,Mike Ade,OTR Racing,,,,1192.8,0.579,3.64,19:52.800,00:00.579
9,/user/67054,Johan Oelofse sanz,,TEAM SANZ,True,,1192.9,0.638,3.72,19:52.900,00:00.638
10,/user/185830,James Currie sdw b,SDW,SOUTHBOROUGH (SDW) BEES,True,,1192.9,0.655,3.83,19:52.900,00:00.655
11,/user/134948,Nick Greenhalghяʀ (o),яʀ,RASIO RACING,True,1,1192.9,0.676,3.88,19:52.900,00:00.676
12,/user/39166,Ned Bowen,[D],,,,1193.0,0.71,3.86,19:53.000,00:00.710
13,/user/621,Jared Millar b,,,,,1193.0,0.752,4.57,19:53.000,00:00.752
14,/user/153961,Wout Hartveld,Pedalers,,,,1193.0,0.779,3.78,19:53.000,00:00.779
15,/user/198726,Mario  Cavelius,,,,,1193.1,0.85,3.87,19:53.100,00:00.850
16,/user/61282,Daniel Neugebauer,Pedalers,,,,1193.1,0.878,4.13,19:53.100,00:00.878
17,/user/69430,Mat Hammond,,,,,1193.2,0.926,3.67,19:53.200,00:00.926
18,/user/79121,James Melville,,GLASGOW UNITED CC,True,,1193.2,0.948,3.99,19:53.200,00:00.948
19,/user/155757,Jan Linden poco,Pocomotion,POCOMOTION,False,,1193.2,0.955,4.29,19:53.200,00:00.955
20,/user/143480,Mark Rowbottom яʀ,яʀ,RASIO RACING,True,,1193.3,0.991,4.25,19:53.300,00:00.991
21,/user/178108,Greg Barnett(c),SDWasps,SOUTHBOROUGH (SDW) HORNETS,True,,1193.3,1.032,3.37,19:53.300,00:01.032
22,/user/177844,Tom  Moss sdw,SDW,SOUTHBOROUGH (SDW) STINGERS,True,,1193.6,1.289,3.99,19:53.600,00:01.289
23,/user/150787,Paul Hindson,,,,,1194.0,1.777,3.83,19:54.000,00:01.777
24,/user/254894,A. Ussie king.  :-) 3r,3R-TLR,,,,1194.4,2.129,4.01,19:54.400,00:02.129
25,/user/232488,Scott  Crichton ,,,,,1194.4,2.149,3.76,19:54.400,00:02.149
26,/user/189782,Anna Ronkainen,,,,,1194.4,2.182,3.2,19:54.400,00:02.182
27,/user/270702,Stuart Gillies tcc,,TWICKENHAM CC,True,,1195.1,2.862,3.46,19:55.100,00:02.862
28,/user/141031,Kevan Unsworth (m),,TEAM CAMERON,True,,1195.2,2.916,3.02,19:55.200,00:02.916
