pos,last_pos,change,url,name,country,points,team,team points,westerley points,best,race count,win count,2nd count,3rd count
1,1,-,https://rgtdb.com/user/39166,Ned Bowen,USA,562,TRANSATLANTIC RAIDERS,562,0,1,6,1,0,1
2,4,▼,https://rgtdb.com/user/160071,Wouter Claes,Belgium,547,MOON RIDERS,547,0,4,6,0,0,0
3,3,-,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,UK,545,RASIO RACING,384,40,1,6,1,0,1
4,2,▲,https://rgtdb.com/user/132783,Mathias  Bergkvist,Sweden,541,,0,0,2,6,0,1,0
5,7,▼,https://rgtdb.com/user/35315,Mike Lister,UK,528,TRANSATLANTIC RAIDERS,528,0,3,6,0,0,1
6,6,-,https://rgtdb.com/user/79305,Carlos Cela,Espana,521,,0,0,2,6,0,1,0
7,8,▼,https://rgtdb.com/user/78811,Christophe Contant[pdl],France,519,PEDALERS,342,0,7,6,0,0,0
8,5,▲,https://rgtdb.com/user/79121,James Melville,UK,518,GLASGOW UNITED CC,518,0,2,6,0,1,0
9,11,▼,https://rgtdb.com/user/17957,Tom Gakes [drft],Netherlands,498,TEAM BTR,331,0,1,6,1,0,0
10,9,▲,https://rgtdb.com/user/193520,David Ellis (c) m,UK,495,,0,0,2,6,0,1,0
11,13,▼,https://rgtdb.com/user/66009,Jurgen Janssens,Belgium,485,PEDALERS,341,0,5,6,0,0,0
12,10,▲,https://rgtdb.com/user/61282,Daniel Neugebauer,Deutschland,483,PEDALERS,261,0,13,6,0,0,0
13,14,▼,https://rgtdb.com/user/141761,Alasdair Mcalpine,UK,467,GLASGOW UNITED CC,467,0,4,6,0,0,0
14,16,▼,https://rgtdb.com/user/95553,J. Sammut (a),UK,466,TEAM POCOMOTION (BLIGHTY),466,0,8,6,0,0,0
15,12,▲,https://rgtdb.com/user/103369,Kader Allouni,UK,460,TEAM POCOMOTION (BLIGHTY),460,0,1,6,1,0,0
